nsow,iteration,dh,upfront_cost,total_cost,bcr,reliability,satisficing
10,1,0,0.0,4983794.537715817,,5.510394935413971e-08,0.0
10,1,3,141285.0,4973248.356543888,1.0746447334956248,3.508046465764966e-05,0.0
10,1,9,153870.0,4784702.978009971,2.2938945844274174,0.009547052937420232,0.0
10,1,14,191370.0,4708814.13498019,2.4369044402760514,0.04394815666976677,0.0
10,2,0,0.0,2226636.3225760916,,0.3791404436647547,0.0
10,2,3,141285.0,2237916.5741943107,0.9201595950156142,0.40710235235433634,0.0
10,2,9,153870.0,2086502.5919125392,1.9107280864596912,0.46130595773098665,0.0
10,2,14,191370.0,2038971.173694029,1.980640376663335,0.4839575910560111,0.0
10,3,0,0.0,5046604.801965269,,4.066654242818131e-09,0.0
10,3,3,141285.0,5069094.954393547,0.8408171254678287,9.123851263499304e-09,0.0
10,3,9,153870.0,4902014.25434752,1.9396929071147668,3.554018870702943e-08,0.0
10,3,14,191370.0,4827158.388182667,2.146712722906426,3.002036957618417e-07,0.0
10,4,0,0.0,5563275.223856476,,0.191258711362447,0.0
10,4,3,141285.0,5651505.700588725,0.3755141966079248,0.19553119516504575,0.0
10,4,9,153870.0,5581723.238200961,0.8801064902548561,0.1985736491024836,0.0
10,4,14,191370.0,5565893.67345287,0.9863173454752843,0.19933576031999717,0.0
10,5,0,0.0,6083758.4636602495,,0.00307168999332461,0.0
10,5,3,141285.0,6094509.028307287,0.9239086622993351,0.01839056755790289,0.0
10,5,9,153870.0,5920415.755907673,2.0615630581177338,0.06762605883413605,10.0
10,5,14,191370.0,5844215.200339427,2.2517283969317115,0.08954537047542348,10.0
10,6,0,0.0,2744632.893593782,,0.38863624248248324,0.0
10,6,3,141285.0,2752385.6417059656,0.9451268845795138,0.3952525986869701,0.0
10,6,9,153870.0,2585027.4275607364,2.0372747516282947,0.39952198716057674,0.0
10,6,14,191370.0,2522956.8601429826,2.1583635546365665,0.402623556945104,0.0
10,7,0,0.0,2747187.4847877333,,0.38430081662386767,0.0
10,7,3,141285.0,2744608.1552229663,1.0182562166172366,0.4067717278810933,0.0
10,7,9,153870.0,2572090.295635265,2.1379553464123533,0.4822680601071392,0.0
10,7,14,191370.0,2507969.4283536067,2.250029035032274,0.540610306149856,20.0
10,8,0,0.0,5106367.637126627,,0.0002072928582484993,0.0
10,8,3,141285.0,5162227.785358481,0.6046278923321387,0.004076819857039433,0.0
10,8,9,153870.0,5059817.849831952,1.3025267257728954,0.04151476215818158,0.0
10,8,14,191370.0,5030460.906063093,1.3966490623584384,0.07375388856628173,10.0
10,9,0,0.0,5568806.758091746,,0.09763969417291751,0.0
10,9,3,141285.0,5690013.307528735,0.14211310870234112,0.09948637315583407,0.0
10,9,9,153870.0,5671665.207020203,0.33152369579218455,0.09998470083818942,0.0
10,9,14,191370.0,5688989.7908108495,0.3719860337612768,0.09999966215773916,0.0
10,10,0,0.0,7117247.629457256,,0.018254330697074175,0.0
10,10,3,141285.0,7224186.533994429,0.24309796130393294,0.04990461802682968,0.0
10,10,9,153870.0,7195848.515621074,0.489173418055384,0.08849516738984677,10.0
10,10,14,191370.0,7210281.85402103,0.5138515725360635,0.09702811371416772,10.0
100,1,0,0.0,4061504.0578546845,,0.026468269304693662,0.0
100,1,3,141285.0,4057523.4766783454,1.0281741244742109,0.07288739141950824,0.0
100,1,9,153870.0,3879382.197571129,2.183608632505073,0.1542162079125373,10.0
100,1,14,191370.0,3808306.7380440827,2.3230773883607765,0.18944281251097186,11.0
100,2,0,0.0,4588511.842900422,,0.013694657284891148,0.0
100,2,3,141285.0,4589192.273334262,0.9951839867371617,0.037423516213909894,0.0
100,2,9,153870.0,4414678.8084356375,2.129739614380876,0.09868575353785414,9.0
100,2,14,191370.0,4345651.325944166,2.269062637593441,0.13463704814651964,12.0
100,3,0,0.0,2424951.480850777,,0.4216022333213235,0.0
100,3,3,141285.0,2480048.0299089313,0.6100325649704231,0.4522263551718253,0.0
100,3,9,153870.0,2377139.195089361,1.3107316940366258,0.4935009284684422,3.0
100,3,14,191370.0,2348664.5697723767,1.398635685208759,0.5119313754357732,4.0
100,4,0,0.0,2597852.293226177,,0.42091222372032805,0.0
100,4,3,141285.0,2657417.2598823486,0.5784055868905253,0.44810923489569776,0.0
100,4,9,153870.0,2566394.9809370064,1.2044408415491672,0.4935071660590512,2.0
