nsow,dh,yr_elev,upfront_cost,damages,total_cost,bcr,reliability,satisficing
500000,14,0,191370.0,375742.1510154881,567112.1510154881,0.0,0.8291516638131048,0.0
500000,14,1,194904.81073199396,380417.4948478547,575322.3055798486,0.0,0.7999889044782007,0.0
500000,14,2,198415.44995822167,385108.47103412397,583523.9209923457,0.0,0.7715957730927759,0.0
500000,14,3,201973.33162380607,389977.5980899615,591950.9297137676,0.0,0.7439612422197446,0.0
500000,14,4,205579.3658517814,395032.82601309184,600612.1918648733,0.0,0.7170746737226931,0.0
500000,14,5,209213.75605566625,400281.9768424057,609495.7328980719,0.0,0.6909276289364538,0.0
500000,14,6,212861.54163972114,405733.2373747632,618594.7790144844,0.0,0.6655087287107855,0.0
500000,14,7,216517.55986252293,411394.0894434586,627911.6493059815,0.0,0.6408100429252525,0.0
500000,14,8,220183.01506924588,417272.07103137876,637455.0861006245,0.0,0.6168238249391385,0.0
500000,14,9,223860.9033762884,423375.3832532168,647236.2866295051,0.0,0.5935407627988862,0.0
500000,14,10,227553.38263553058,429711.9776581697,657265.3602937002,0.0,0.5709533972781796,0.0
500000,14,11,231262.00363827436,436291.0066567666,667553.010295041,0.0,0.5490508402115779,0.0
500000,14,12,234987.11541547455,443121.5473411421,678108.6627566167,0.0,0.5278238521917727,0.0
500000,14,13,238730.16299086306,450212.82518931787,688942.9881801809,0.0,0.5072645088240993,0.0
500000,14,14,242491.9441012139,457573.25968165894,700065.2037828728,0.0,0.48736870771891977,0.0
500000,14,15,246274.28405026367,465213.4262952108,711487.7103454744,0.0,0.4681240126778041,0.0
500000,14,16,250077.8560319643,473143.0578701577,723220.9139021221,0.0,0.44952216520978366,0.0
500000,14,17,253903.20683838107,481372.2150518149,735275.421890196,0.0,0.4315532305299302,0.0
500000,14,18,257751.05424871808,489912.16323321813,747663.2174819363,0.0,0.41420773097888547,0.0
500000,14,19,261622.4708303584,498774.3836769711,760396.8545073293,0.0,0.397473891016501,0.0
500000,14,20,265519.0683549511,507969.6683402386,773488.7366951898,0.0,0.3813432116741939,0.0
