"Year","DR"
"1798.0",NA
"1799.0",7.306666667
"1800",6.933333333
"1801",6.466666667
"1802",6.206666667
"1803",6.156666667
"1804",6.276666667
"1805",6.27
"1806",6.2
"1807",6.06
"1808",5.963333333
"1809",5.876666667
"1810",5.873333333
"1811",5.963333333
"1812",6.123333333
"1813",6.686666667
"1814",7.08
"1815",7.396666667
"1816",6.803333333
"1817",6.296666667
"1818",5.846666667
"1819",5.613333333
"1820",5.21
"1821",4.793333333
"1822",4.646666667
"1823",4.54
"1824",4.43
"1825",4.356666667
"1826",4.396666667
"1827",4.45
"1828",4.54
"1829",4.716666667
"1830",4.873333333
"1831",4.95
"1832",4.94
"1833",4.913333333
"1834",4.856666667
"1835",4.886666667
"1836",4.913333333
"1837",4.973333333
"1838",5.056666667
"1839",5.096666667
"1840",5.09
"1841",5.003333333
"1842",4.94
"1843",4.893333333
"1844",4.963333333
"1845",5.17
"1846",5.476666667
"1847",5.66
"1848",5.546666667
"1849",5.15
"1850",4.736666667
"1851",4.48
"1852",4.293333333
"1853",4.183333333
"1854",4.113333333
"1855",4.143333333
"1856",4.196666667
"1857",4.243333333
"1858",4.446666667
"1859",4.87
"1860",5.58
"1861",6.09
"1862",6.233333333
"1863",5.783333333
"1864",5.536666667
"1865",5.37
"1866",5.45
"1867",5.373333333
"1868",5.33
"1869",5.363333333
"1870",5.376666667
"1871",5.373333333
"1872",5.42
"1873",5.47
"1874",5.373333333
"1875",5.043333333
"1876",4.703333333
"1877",4.46
"1878",4.336666667
"1879",4.193333333
"1880",3.98
"1881",3.78
"1882",3.65
"1883",3.623333333
"1884",3.59
"1885",3.503333333
"1886",3.47
"1887",3.52
"1888",3.546666667
"1889",3.513333333
"1890",3.496666667
"1891",3.546666667
"1892",3.656666667
"1893",3.683333333
"1894",3.636666667
"1895",3.586666667
"1896",3.486666667
"1897",3.45
"1898",3.283333333
"1899",3.19
"1900",3.116666667
"1901",3.15
"1902",3.236666667
"1903",3.343333333
"1904",3.41
"1905",3.473333333
"1906",3.61
"1907",3.783333333
"1908",3.856666667
"1909",3.893333333
"1910",3.913333333
"1911",3.993333333
"1912",4.076666667
"1913",4.123333333
"1914",4.166666667
"1915",4.07
"1916",4.1
"1917",4.213333333
"1918",4.39
"1919",4.646666667
"1920",4.843333333
"1921",4.79
"1922",4.583333333
"1923",4.24
"1924",4.093333333
"1925",3.866666667
"1926",3.626666667
"1927",3.45
"1928",3.423333333
"1929",3.406666667
"1930",3.41
"1931",3.436666667
"1932",3.443333333
"1933",3.37
"1934",3.073333333
"1935",2.853333333
"1936",2.706666667
"1937",2.63
"1938",2.533333333
"1939",2.376666667
"1940",2.173333333
"1941",2.206666667
"1942",2.293333333
"1943",2.47
"1944",2.44
"1945",2.346666667
"1946",2.27
"1947",2.293333333
"1948",2.333333333
"1949",2.356666667
"1950",2.4
"1951",2.523333333
"1952",2.723333333
"1953",2.713333333
"1954",2.725133333
"1955",2.633816667
"1956",2.686994444
"1957",2.726361111
"1958",2.998911111
"1959",3.213583333
"1960",3.368892857
"1961",3.31200119
"1962",3.299295635
"1963",3.345556111
"1964",3.375347778
"1965",3.523746667
"1966",3.671
"1967",3.886236667
"1968",4.193186667
"1969",4.532733333
"1970",4.427343333
"1971",4.01321
"1972",3.672283333
"1973",3.813313333
"1974",3.838233333
"1975",3.504856667
"1976",3.072396667
"1977",3.013686667
"1978",3.30554
"1979",4.081806667
"1980",5.149883333
"1981",5.724093333
"1982",5.315576667
"1983",4.83935
"1984",4.413306667
"1985",3.70651
"1986",2.844933333
"1987",2.474453333
"1988",2.844163333
"1989",3.244976667
"1990",3.48483
"1991",3.692583333
"1992",3.323546667
"1993",3.311583333
"1994",3.249376667
"1995",3.477246667
"1996",3.280763333
"1997",2.929486667
"1998",2.832513333
"1999.0",2.84566
"2000.0",2.985083333
"2001.0",2.84644
"2002.0",2.519126667
"2003.0",2.42212
"2004.0",2.284703333
"2005.0",2.40858
"2006.0",2.443893333
"2007.0",2.38917
"2008.0",2.129416667
"2009.0",1.89522
"2010.0",1.74519
"2011.0",1.318813333
"2012.0",1.086353333
"2013.0",0.93065
"2014.0",0.94989
"2015.0",0.6683333333
"2016.0",0.5663333333
"2017.0",0.759
"2018.0",0.988
