Parameter_1,Parameter_2,S2,S2_conf
mu_u,sigma_u,0.0017605998865987404,0.0029464736100631313
mu_u,xi_u,0.001363829466159927,0.0030299932233513087
mu_u,dr_u,0.0011797565327736279,0.003043316227221082
mu_u,lt_u,0.0032597727503835827,0.003223112704689096
mu_u,dd_err,0.0016487879751947536,0.0029967368778924595
mu_u,hv_rate,0.0035948702219966433,0.0038893258776021645
mu_u,b1,0.001470495350609581,0.002903409087014364
mu_u,b2,0.0015691219856652922,0.0029864895650630516
sigma_u,xi_u,0.0009980282991259443,0.008253246125812281
sigma_u,dr_u,0.0005928845851807252,0.0074552581875092765
sigma_u,lt_u,0.009275440903556115,0.009595779912345821
sigma_u,dd_err,0.0009021407902567377,0.007129985394811135
sigma_u,hv_rate,0.01184328173336438,0.008539248952930371
sigma_u,b1,-0.0004617567244417798,0.00712092112478279
sigma_u,b2,-0.00036535744960229655,0.007287568022737311
xi_u,dr_u,0.0010868833148941562,0.010722641272902966
xi_u,lt_u,0.01618193424762049,0.014723848407518449
xi_u,dd_err,0.0018938707690190487,0.010192751157225274
xi_u,hv_rate,0.026014736706578112,0.011547314218633196
xi_u,b1,-0.0008675111681013554,0.010326633731306066
xi_u,b2,0.0005248831312487726,0.01039037161502531
dr_u,lt_u,0.024981804215352316,0.012264813595276626
dr_u,dd_err,-0.0019933539020015115,0.009610466603989941
dr_u,hv_rate,0.00563075321968573,0.010424413887533469
dr_u,b1,-0.0011124218491797237,0.009570540181519965
dr_u,b2,0.0007325462909035657,0.00961963796362459
lt_u,dd_err,0.00844913848190848,0.019531937087914463
lt_u,hv_rate,0.08904842326487261,0.02472250498903137
lt_u,b1,0.006607829110065756,0.01986739387619723
lt_u,b2,0.011660316952248638,0.019501594654984553
dd_err,hv_rate,0.007296035338120954,0.006443077139072117
dd_err,b1,0.0016294337079989733,0.005876873604305782
dd_err,b2,0.0019199776937037921,0.005985139758285775
hv_rate,b1,-0.005872973655535173,0.014147829726343122
hv_rate,b2,-0.0005748516937413919,0.014809296742427114
b1,b2,4.6118162682899644e-05,0.0028370321064840765
