Parameter_1,Parameter_2,S2,S2_conf
mu_u,sigma_u,0.0006991875724490712,0.00269673617129486
mu_u,xi_u,0.0006985896602522135,0.002665195605966738
mu_u,dr_u,0.0007894082778735351,0.0027165270780190485
mu_u,lt_u,0.001591390639986423,0.0035334845128892935
mu_u,dd_err,0.0008540887672089381,0.0026203885164379514
mu_u,hv_rate,0.0029635834759528523,0.0031156471492113447
mu_u,b1,0.0006654448022994459,0.0025399611687331775
mu_u,b2,0.0009576520114754072,0.002631436701795944
sigma_u,xi_u,-0.0005642768079778676,0.00811172144094262
sigma_u,dr_u,0.0008703874521968219,0.0074942136805962725
sigma_u,lt_u,0.005869597727750003,0.009600802560741414
sigma_u,dd_err,-0.001495114858227141,0.007869909361585058
sigma_u,hv_rate,0.01197283420683351,0.009608559692649355
sigma_u,b1,-0.0018250614558543805,0.007339837976692858
sigma_u,b2,-0.0018556922930592495,0.007748092728984928
xi_u,dr_u,0.006249833461052325,0.012393218583152494
xi_u,lt_u,0.02017425905017267,0.014588107252458056
xi_u,dd_err,0.0041655428470856876,0.011395113467492756
xi_u,hv_rate,0.031352582786230515,0.014717950985041958
xi_u,b1,0.001051018618375925,0.011409147888502958
xi_u,b2,0.0025624041331320166,0.011858729937305551
dr_u,lt_u,0.021746821481591266,0.014223463724737522
dr_u,dd_err,-0.0043076986370453665,0.009519065255673503
dr_u,hv_rate,0.012186882372770269,0.01173115637037147
dr_u,b1,-0.00401716365603014,0.008916326001022767
dr_u,b2,-0.003260305423713507,0.008891211061031787
lt_u,dd_err,0.0040193448613828064,0.017871974964827068
lt_u,hv_rate,0.08933816836503286,0.02195338703057034
lt_u,b1,0.0035770029388898133,0.01753434473381366
lt_u,b2,0.01235380100022055,0.0174560795571268
dd_err,hv_rate,0.00473170132351311,0.006383302657100368
dd_err,b1,-0.0019285692245806256,0.005299535720642389
dd_err,b2,-0.0011904298005609923,0.005234639949459418
hv_rate,b1,-0.00552560561996147,0.014568624905432474
hv_rate,b2,0.0009645285006429707,0.014705434558853732
b1,b2,0.0002438507804792961,0.0033114501739786757
